X,Y,Z
44.459805,3.8270915,12.721729
42.606533,4.289844,24.39777
41.268578,4.7202168,28.561241
40.990166,5.505997,24.975452
40.88679,6.104705,21.30766
40.665455,6.617513,17.872578
40.151806,7.089548,15.062836
39.46866,7.3999233,13.507077
38.803562,7.6167274,13.200988
38.066666,7.7698436,13.349667
37.10242,7.7815814,14.028285
35.90916,7.674888,15.398405
34.645466,7.5796323,16.467205
33.57504,7.5081725,16.940756
32.650066,7.429625,17.090218
31.659508,7.3503165,16.705675
30.622784,7.1714077,15.979234
29.739712,6.8775477,14.994207
28.890245,6.630757,14.194766
27.91475,6.409294,14.274245
27.075653,6.1262274,14.255001
26.355358,5.9110503,13.508682
25.669764,5.7415943,12.692576
25.095293,5.5114555,12.060701
24.74783,5.2996354,10.871108
24.244625,5.1680593,9.788157
23.11486,5.1227717,10.075097
22.021446,5.1270504,10.259582
21.334703,5.1374435,10.046883
20.850166,5.1748877,10.242576
20.339064,5.2387276,10.668871
19.706114,5.282236,11.29063
19.126547,5.328982,11.985835
18.66012,5.3930645,12.481695
18.273289,5.3929853,12.944485
17.835052,5.3284335,13.389154
17.218204,5.3590717,13.40342
16.308151,5.4741745,13.425305
15.165641,5.4981804,13.815936
14.045712,5.439763,14.262068
13.080601,5.3455987,14.204064
12.111937,5.154262,14.112203
11.121764,4.862345,14.607468
10.255896,4.5349274,15.043872
9.374308,4.225433,15.660744
8.312671,3.925392,16.929493
7.5145445,3.6012151,17.684923
7.036032,3.366157,17.21747
6.598163,3.2609437,16.538868
6.195717,3.0175996,16.093956
5.7627153,2.5445023,15.277389
5.3323555,2.028014,14.093277
5.096164,1.4214252,13.093176
5.049644,0.6019634,12.512379
5.1217556,-0.3116021,12.194204
5.4050803,-1.0947865,12.069338
5.8898487,-1.8440777,12.224105
6.5553193,-2.7045944,12.933197
7.55662,-3.4183743,14.211458
8.821681,-3.8957515,15.565286
10.20376,-4.3328447,16.777723
11.702397,-4.7652445,17.610796
13.390479,-5.07376,17.783007
15.30694,-5.3355575,17.241722
17.261477,-5.621072,16.210308
19.099457,-5.7355967,15.385194
20.935532,-5.6727,15.066371
22.770552,-5.537155,14.989357
24.691296,-5.259162,14.734113
26.687672,-4.797955,14.321084
28.474913,-4.301841,14.331145
30.278711,-3.8645995,14.686045
32.164864,-3.3533363,14.822098
33.755035,-2.7806842,14.725037
35.131474,-2.340447,14.752904
36.267384,-1.9955614,15.065051
37.077465,-1.550013,15.555866
37.936882,-1.0770745,16.232767
39.00951,-0.80839956,17.228382
40.161663,-0.63958544,18.5857
41.016323,-0.31357914,20.06005
41.75571,0.08300808,21.34887
42.339622,0.39046595,22.463629
42.968353,0.67021656,23.600958
43.646996,0.94074315,24.87353
44.09927,1.097179,26.166618
44.392776,1.1991779,26.896288
44.8006,1.33075,26.5587
45.225338,1.4730052,25.365648
45.60904,1.6003296,24.023998
46.060776,1.6560427,22.838453
46.621017,1.7129192,21.471964
47.20742,1.7888714,19.687052
47.701042,1.8206755,17.604618
48.171837,1.8388027,15.459269
48.497498,1.8995038,13.472648
48.55453,2.0106723,11.850558
48.491528,2.1182485,10.553373
48.364677,2.222408,9.12635
48.21633,2.3812985,7.2244387
48.117508,2.621444,5.1370225
48.088352,2.906917,2.6934538
48.23414,3.2050238,-0.41047856
48.39197,3.4763238,-2.9109895
48.119698,3.7231636,-4.0645294
47.519917,3.9077728,-4.2082562
47.141605,4.011068,-3.8842359
47.053158,4.177617,-4.3004975
48.31936,4.4455876,-8.946135
48.61266,4.9855175,-6.8235197
47.307457,5.616378,5.079394
45.83257,5.98045,16.427813
44.346817,6.172492,26.178389
43.761723,6.8170457,27.139051
43.85182,7.757408,22.321497
43.917423,8.557853,16.91316
43.87884,9.1886015,11.744374
43.66771,9.66541,8.515963
43.0558,9.957732,7.850074
42.1474,10.053583,9.181498
41.00307,10.13625,11.645538
39.656857,10.11819,14.266458
38.322437,9.901079,16.134357
37.02074,9.728128,16.966997
35.757442,9.623769,17.15583
34.611294,9.518939,16.956377
33.579296,9.482648,16.114073
32.620716,9.50867,14.592771
31.81918,9.638715,13.309641
31.077597,9.728734,12.332533
30.204947,9.752866,11.801972
29.215263,9.789705,11.625138
28.209387,9.909638,11.80799
27.186253,9.992005,12.532228
26.142416,9.993079,13.247632
25.2628,10.033749,13.467663
24.62159,10.088113,13.480705
23.952469,10.12602,13.471872
22.990168,10.13142,15.354135
22.77635,10.278083,13.468849
22.072071,10.2553215,13.380622
21.445768,10.064974,13.995218
20.680735,10.033352,14.547286
19.701582,10.057788,15.144225
18.894833,10.024575,15.839088
18.08527,10.080904,16.250431
18.082983,9.344493,18.705711
17.439001,9.113646,19.791016
16.582344,9.063608,20.058521
15.8062,8.939621,20.19482
15.101103,9.017397,20.058498
14.394003,9.214427,19.910765
13.475094,9.15425,19.949963
12.323867,8.878228,20.005304
11.286257,8.479768,19.93143
10.242986,7.940225,19.773134
8.856464,7.507358,19.60842
7.3178735,7.298237,20.302069
6.3689795,7.3225327,19.302681
